Year,Item,Country,Value,Source,Notes,ISO3
2010,Construction,Barbados,147.955488418933,733,"6432,6495",BRB
2010,"Electricity, gas and water supply",Barbados,95.274293059126,733,"6432,6495",BRB
2010,"Financial intermediation, real estate, renting and business activities",Barbados,1113.52038618187,733,"6432,6495",BRB
2010,Gross domestic product (GDP),Barbados,4033.12582492236,733,"6432,6495",BRB
2010,Hotels and restaurants,Barbados,498.337086614173,733,"6432,6495",BRB
2010,Manufacturing,Barbados,216.225474683544,733,"6432,6495",BRB
2010,Mining and quarrying,Barbados,4.263,733,"6432,6495",BRB
2010,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,633.02862411768,733,"6432,6495",BRB
2010,Statistical discrepancy of GDP by economic activity,Barbados,443.8783,733,"6432,6495",BRB
2010,Total value added,Barbados,3589.24751900861,733,"6432,6495",BRB
2010,"Transport, storage and communications",Barbados,396.588461538462,733,"6432,6495",BRB
2010,"Wholesale and retail trade, and repair of goods",Barbados,416.628022232515,733,"6432,6495",BRB
2010,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,925.942475940508,733,"6432,6495",BRB
2011,"Agriculture, hunting, forestry and fishing",Barbados,52.8915851272016,733,"6432,6495",BRB
2011,Construction,Barbados,163.518529707956,733,"6432,6495",BRB
2011,"Electricity, gas and water supply",Barbados,93.7654241645244,733,"6432,6495",BRB
2011,"Financial intermediation, real estate, renting and business activities",Barbados,1119.13844766032,733,"6495,6432",BRB
2011,Gross domestic product (GDP),Barbados,4063.71700310559,733,"6432,6495",BRB
2011,Hotels and restaurants,Barbados,497.578582677165,733,"6432,6495",BRB
2011,Manufacturing,Barbados,204.778243670886,733,"6495,6432",BRB
2011,Mining and quarrying,Barbados,3.675,733,"6432,6495",BRB
2011,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,657.27666673922,733,"6432,6495",BRB
2011,Statistical discrepancy of GDP by economic activity,Barbados,443.6871,733,"6432,6495",BRB
2011,Total value added,Barbados,3620.02987470432,733,"6432,6495",BRB
2011,"Transport, storage and communications",Barbados,399.294230769231,733,"6432,6495",BRB
2011,"Wholesale and retail trade, and repair of goods",Barbados,416.803149606299,733,"6432,6495",BRB
2011,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,925.691746864975,733,"6432,6495",BRB
2012,"Agriculture, hunting, forestry and fishing",Barbados,51.1127201565558,733,"6432,6495",BRB
2012,Construction,Barbados,151.366565961732,733,"6432,6495",BRB
2012,"Electricity, gas and water supply",Barbados,94.196529562982,733,"6432,6495",BRB
2012,"Financial intermediation, real estate, renting and business activities",Barbados,1157.85188127629,733,"6432,6495",BRB
2012,Gross domestic product (GDP),Barbados,4064.09467197205,733,"6432,6495",BRB
2012,Hotels and restaurants,Barbados,478.995236220472,733,"6432,6495",BRB
2012,Manufacturing,Barbados,190.787183544304,733,"6432,6495",BRB
2012,Mining and quarrying,Barbados,3.381,733,"6432,6495",BRB
2012,"Public administration, defence, compulsory social security, education, health and social work, and other community, social and personal service activities",Barbados,677.884330204288,733,"6432,6495",BRB
2012,Statistical discrepancy of GDP by economic activity,Barbados,413.5523,733,"6432,6495",BRB
2012,Total value added,Barbados,3650.54232962398,733,"6432,6495",BRB
2012,"Transport, storage and communications",Barbados,407.798076923077,733,"6432,6495",BRB
2012,"Wholesale and retail trade, and repair of goods",Barbados,418.729550717925,733,"6432,6495",BRB
2012,"Wholesale and retail trade, repair of goods, and hotels and restaurants",Barbados,916.164041994751,733,"6495,6432",BRB
