month,national,cades-bay,christian-valley,cobbs-cross,cochrane,renfrew,dunbars,codrington,coolidge,green-castle,jolly-hill
1992-06-01 00:00:00,83.82,91.69399999999999,49.275999999999996,,38.608,45.97,,,41.40,126.24,69.85
1992-07-01 00:00:00,100.58,72.136,56.896,,53.08599999999999,79.50,,,75.18,125.98,88.39
1992-08-01 00:00:00,133.86,126.492,83.31199999999998,,164.592,77.72,,,93.22,174.50,136.14
1992-09-01 00:00:00,164.85,131.826,175.51399999999998,,156.97199999999998,175.01,,,111.25,218.44,141.73
1992-10-01 00:00:00,170.43,105.41,300.736,,152.146,211.58,,,106.93,233.68,203.71
1992-11-01 00:00:00,206.76,147.066,134.874,,237.48999999999998,161.04,,,180.59,232.66,279.15
1992-12-01 00:00:00,184.66,166.878,148.082,,130.55599999999998,155.96,,,125.22,243.84,224.28
1993-01-01 00:00:00,70.87,120.64999999999999,147.828,57.15,52.06999999999999,57.40,,78.74,64.52,77.22,74.68
1993-02-01 00:00:00,31.24,39.116,27.432,57.66,38.354,54.36,,0.00,12.95,49.28,29.72
1993-03-01 00:00:00,32.51,37.592,38.354,118.87,27.432,32.51,,0.00,35.05,29.72,30.99
1993-04-01 00:00:00,79.25,32.766,64.26199999999999,271.78,103.886,77.72,,213.36,107.95,50.55,39.62
1993-05-01 00:00:00,340.36,261.62,238.252,96.52,360.67999999999995,201.93,,195.58,324.87,355.60,244.09
1993-06-01 00:00:00,93.47,134.874,94.74199999999999,90.42,94.74199999999999,101.60,,30.48,48.51,138.43,126.49
1993-07-01 00:00:00,156.21,104.90199999999999,129.286,43.18,173.482,164.34,,175.26,139.45,172.97,124.97
1993-08-01 00:00:00,50.80,33.528,41.401999999999994,98.55,44.958,36.83,,40.64,49.28,52.07,62.48
1993-09-01 00:00:00,74.93,61.467999999999996,71.11999999999999,80.52,67.564,87.12,,238.76,56.64,92.96,95.25
1993-10-01 00:00:00,78.49,62.483999999999995,36.83,52.32,60.959999999999994,30.73,,86.36,60.45,96.52,70.61
1993-11-01 00:00:00,69.60,28.701999999999995,90.42399999999999,43.18,67.056,70.10,,73.66,37.34,101.85,72.39
1993-12-01 00:00:00,75.69,98.806,60.706,43.18,32.512,40.13,,22.86,71.37,80.01,63.75
1994-01-01 00:00:00,70.87,78.99399999999999,69.342,71.37,48.767999999999994,53.09,,76.20,43.69,98.04,82.80
1994-02-01 00:00:00,48.01,68.072,52.832,15.75,61.97599999999999,49.78,,53.34,30.48,65.53,57.15
1994-03-01 00:00:00,43.43,19.812,46.482,35.81,39.878,25.65,,27.94,37.08,49.53,30.48
1994-04-01 00:00:00,75.95,29.717999999999996,52.324,83.31,15.748,39.88,,88.90,14.99,136.65,102.36
1994-05-01 00:00:00,59.18,57.91199999999999,65.27799999999999,33.02,39.37,42.42,,27.94,29.97,88.39,68.83
1994-06-01 00:00:00,54.86,58.419999999999995,53.593999999999994,34.04,56.388000000000005,45.72,,35.56,42.42,67.31,64.26
1994-07-01 00:00:00,51.05,61.97599999999999,51.308,38.10,30.225999999999996,37.08,,25.40,44.20,57.66,50.29
1994-08-01 00:00:00,66.80,54.60999999999999,53.08599999999999,171.20,71.11999999999999,46.74,,25.40,35.81,97.79,43.94
1994-09-01 00:00:00,264.41,214.62999999999997,251.206,120.14,247.90399999999997,232.92,,254.00,244.86,283.97,253.75
1994-10-01 00:00:00,86.11,88.89999999999999,86.614,74.42,106.17199999999998,80.26,,121.92,70.61,101.60,116.84
1994-11-01 00:00:00,130.05,51.56199999999999,122.17399999999998,105.16,210.05799999999996,104.14,,124.46,120.14,139.95,112.27
1994-12-01 00:00:00,64.52,73.66,58.674,105.16,78.99399999999999,51.82,,55.88,60.20,68.58,85.60
