month,belont,bequia,botanical-gardens,capden-park-exp.-station/pebroke,canouan,dubarton,layou,et-office/arnosvale,ustique,rabacca,rivulet,three-rivers,union-island,wallilabou
1984-11-01 00:00:00,354.33,,158.50,230.12,,462.79,226.06,246.80,182.88,,267.72,608.84,,
1984-12-01 00:00:00,65.28,,77.47,86.87,,77.22,104.14,117.90,35.56,,96.52,117.35,,
1985-01-01 00:00:00,158.75,,127.25,85.85,,216.92,95.76,113.20,27.94,,98.55,152.40,,45.97
1985-02-01 00:00:00,119.38,,100.33,112.52,,159.26,66.29,94.00,27.94,,67.06,108.97,,43.43
1985-03-01 00:00:00,34.80,,76.71,52.83,,123.95,14.73,90.10,0.00,,54.86,79.50,,20.83
1985-04-01 00:00:00,77.47,,90.68,76.71,,260.86,35.31,101.70,76.20,,116.33,504.70,,107.95
1985-05-01 00:00:00,65.79,,107.44,62.48,,108.2,93.98,110.00,12.70,,53.85,184.40,,52.83
1985-06-01 00:00:00,189.99,,89.92,84.84,,171.96,73.91,157.00,53.34,,106.68,148.34,,97.28
1985-07-01 00:00:00,414.53,,126.75,210.82,,292.35,257.81,243.20,124.46,,200.19,116.84,,238.51
1985-08-01 00:00:00,309.88,,77.72,178.31,,316.48,367.28,236.00,68.58,,186.44,79.76,,286.51
1985-09-01 00:00:00,275.08,,83.31,111.25,,229.62,229.36,156.10,104.14,,196.34,185.42,,80.01
1985-10-01 00:00:00,460.76,,251.97,372.87,,409.45,313.94,399.80,17.78,,155.52,349.50,,309.37
1985-11-01 00:00:00,356.87,,250.44,180.09,,387.35,215.14,248.50,99.06,,253.75,253.24,,303.02
1985-12-01 00:00:00,155.45,,430.02,205.49,,609.85,196.6,238.30,101.60,,148.34,240.79,,277.62
1986-01-01 00:00:00,101.09,,157.99,82.55,,164.08,231.39,128.10,10.16,,74.93,74.68,,107.19
1986-02-01 00:00:00,21.84,,57.91,48.51,,92.96,88.14,70.20,12.70,,43.69,457.71,,0.76
1986-03-01 00:00:00,54.86,,83.82,36.32,,111.76,54.86,68.90,10.16,,48.01,95.00,,71.37
1986-04-01 00:00:00,103.12,,140.97,66.29,,168.66,39.62,86.80,15.24,,53.85,55.37,,102.62
1986-05-01 00:00:00,76.20,,50.04,17.78,,97.03,400.3,79.00,30.48,,46.23,43.69,,52.83
1986-06-01 00:00:00,323.09,,293.62,166.62,,386.08,0,239.00,73.66,,164.59,356.11,,158.75
1986-07-01 00:00:00,34.29,,200.41,135.13,,234.44,125.98,171.90,43.18,,144.78,128.02,,116.84
1986-08-01 00:00:00,354.58,,258.83,166.88,,292.86,230.38,235.90,200.66,,167.64,164.34,,293.62
1986-09-01 00:00:00,397.51,,418.34,403.86,,458.22,506.98,424.80,256.54,,281.69,305.31,,558.55
1986-10-01 00:00:00,214.88,,137.92,189.99,,221.74,134.11,227.10,121.92,,191.01,188.21,,226.31
1986-11-01 00:00:00,408.43,,209.80,248.92,,326.14,138.68,288.10,175.26,,165.10,163.58,,242.06
1986-12-01 00:00:00,190.50,,97.79,139.95,,189.48,125.73,108.60,12.70,,65.28,178.31,,164.59
1987-01-01 00:00:00,89.66,,105.41,79.25,,117.86,,96.10,114.30,,108.97,12.70,,140.97
1987-02-01 00:00:00,28.19,,36.32,25.40,,28.96,,18.50,0.00,,10.67,25.91,,8.89
1987-03-01 00:00:00,5.84,,9.91,4.83,,25.65,,16.70,0.00,,6.86,1.02,,18.80
1987-04-01 00:00:00,4.83,,27.94,9.14,,4.57,7.87,9.50,0.00,,8.89,10.16,,9.40
1987-05-01 00:00:00,234.19,,129.79,83.57,,232.66,67.31,132.30,106.68,,102.62,132.59,,266.70
1987-06-01 00:00:00,311.15,,341.12,332.49,,386.59,146.05,340.60,149.86,,245.11,172.72,,303.53
1987-07-01 00:00:00,260.60,,113.54,143.76,,194.82,133.6,151.50,93.98,,98.04,260.35,,581.66
1987-08-01 00:00:00,319.53,,269.49,263.65,,209.04,69.85,225.60,78.74,,77.22,180.34,,227.58
1987-09-01 00:00:00,566.67,,334.01,379.73,,401.83,223.52,357.80,254.00,,224.28,289.56,,365.76
1987-10-01 00:00:00,249.43,,222.00,190.75,,287.27,128.02,188.80,170.18,,157.99,314.96,,236.22
1987-11-01 00:00:00,262.89,,427.74,355.09,,672.59,344.68,345.40,266.70,,301.50,727.96,,
1987-12-01 00:00:00,137.92,,195.07,166.12,,169.7,142.75,228.40,60.96,,238.51,192.28,,
1988-01-01 00:00:00,203.96,,172.72,,,235.2,172.47,129.10,30.48,,24.64,181.36,,
1988-02-01 00:00:00,102.62,,137.92,,,128.02,60.45,109.40,33.02,,80.01,82.30,,
1988-03-01 00:00:00,63.25,,125.48,,,182.37,80.01,90.50,0.00,,89.92,103.63,,
1988-04-01 00:00:00,23.88,,57.66,,,71.63,17.78,42.00,177.80,,22.10,68.83,,
1988-05-01 00:00:00,89.92,,119.38,,,222,51.82,91.50,58.42,,104.14,69.60,,
1988-06-01 00:00:00,273.56,,201.17,,,322.07,245.87,206.80,86.36,,211.07,132.33,,
1988-07-01 00:00:00,376.17,,288.54,,,246.38,,283.10,116.84,,206.76,99.57,,
1988-08-01 00:00:00,569.72,,329.69,,,368.55,275.08,357.20,223.52,,378.71,213.61,,
1988-09-01 00:00:00,616.20,,389.38,,,308.61,359.92,286.70,297.18,,300.48,368.81,,
1988-10-01 00:00:00,640.84,,553.97,,,669.8,203.45,484.10,335.28,,635.25,1040.89,,
1988-11-01 00:00:00,651.26,,314.20,,,373.89,-,290.80,76.20,,244.86,341.88,,
1988-12-01 00:00:00,86.61,,155.45,,,109.73,35.31,131.00,20.32,,165.10,176.78,,
1989-01-01 00:00:00,151.89,,149.10,,,209.8,,119.70,33.02,,87.50,186.94,,101.09
1989-02-01 00:00:00,174.24,,183.39,,,181.61,,14.70,22.86,,125.31,229.36,,101.09
1989-03-01 00:00:00,96.52,,226.57,,,303.02,,238.10,160.02,,197.05,212.60,,65.79
1989-04-01 00:00:00,93.73,,89.92,,,255.52,,91.90,63.50,,117.30,330.45,,101.60
1989-05-01 00:00:00,10.92,,37.85,,,97.03,,30.90,0.00,,34.15,401.32,,1.02
1989-06-01 00:00:00,203.45,,166.62,,,136.65,,107.70,81.28,,85.30,703.58,,131.32
1989-07-01 00:00:00,416.81,,291.08,,,365.51,,276.40,124.46,,258.50,1836.42,,339.60
1989-08-01 00:00:00,195.07,,220.22,,,450.09,,176.70,38.10,,232.90,2055.88,,171.70
1989-09-01 00:00:00,380.24,,296.67,,,395.73,,278.00,233.68,,289.30,448.06,,221.74
1989-10-01 00:00:00,139.45,,133.60,,,222.25,,176.30,45.72,,174.40,179.32,,
1989-11-01 00:00:00,192.28,,256.79,,,407.92,,218.30,167.64,,340.60,1069.34,,155.19
1989-12-01 00:00:00,103.12,,221.49,,,314.71,,207.30,137.16,,186.80,510.54,,23.11
1990-01-01 00:00:00,110.49,,217.68,,,180.59,53.09,173.90,33.02,,142.00,0.00,,109.47
