month,station-gonaïves,station-juvénat-(p.v),station-daien,station-delas,station-port-au-prince,station-saint-arc,station-cap-haitien,station-ouanainthe,station-jacel,station-la-vallée-de-jacel,station-cayes
1984-12-01 00:00:00,6.70,27.90,43.50,22.80,27.60,1.00,52.40,15.4,33.00,89.10,2
1985-01-01 00:00:00,0.50,17.40,60.10,23.50,55.00,0.00,175.80,18.9,5.00,14.60,47.8
1985-02-01 00:00:00,8.70,4.40,40.60,51.90,59.00,26.50,203.90,44,31.40,18.10,136.3
1985-03-01 00:00:00,0.30,143.70,84.30,116.30,126.80,0.00,261.00,94.7,256.50,171.60,91.9
1985-04-01 00:00:00,62.00,182.00,107.80,220.30,139.70,114.50,140.70,62.1,139.60,145.70,174.4
1985-05-01 00:00:00,44.00,190.30,102.70,133.60,127.60,150.00,46.80,142.2,188.20,190.30,175.6
1985-06-01 00:00:00,77.00,63.20,20.00,32.50,56.90,58.00,38.40,94.5,89.00,25.50,20.2
1985-07-01 00:00:00,64.60,54.80,33.80,38.10,44.00,261.50,84.20,150.1,135.00,51.00,48.3
1985-08-01 00:00:00,78.80,59.40,145.90,49.50,58.10,163.20,54.30,134.9,222.50,100.40,180.4
1985-09-01 00:00:00,20.70,202.20,63.70,81.80,72.20,159.70,104.60,123.3,190.50,120.60,183.4
1985-10-01 00:00:00,74.60,48.70,24.10,50.20,35.40,103.10,80.20,100.2,97.50,272.00,314.6
1985-11-01 00:00:00,83.40,70.40,106.20,65.90,87.90,78.20,94.20,131.6,121.50,174.60,29.3
1985-12-01 00:00:00,0.00,0.00,10.90,4.00,0.00,0.00,17.50,3.2,72.50,17.50,45.9
1986-01-01 00:00:00,14.60,186.50,53.00,46.40,135.40,50.50,155.70,32.7,62.50,47.30,55.4
1986-02-01 00:00:00,3.50,65.60,77.20,58.10,35.90,16.00,18.00,53.1,57.00,85.80,19.2
1986-03-01 00:00:00,60.50,102.70,95.70,117.50,140.40,228.50,136.50,166.3,73.20,123.30,61.3
1986-04-01 00:00:00,36.60,258.30,209.80,257.30,156.70,40.50,168.50,133.2,159.50,209.20,128.2
1986-05-01 00:00:00,110.20,202.40,117.80,127.70,199.10,86.00,112.80,240.2,256.00,430.80,262.8
1986-06-01 00:00:00,74.90,48.90,30.00,36.70,38.80,144.00,26.80,72,146.00,240.90,677.9
1986-07-01 00:00:00,65.10,15.40,36.40,6.20,12.70,162.00,4.50,98.5,8.50,20.30,41.4
1986-08-01 00:00:00,78.20,88.50,71.00,48.30,45.80,265.50,40.50,103.1,77.00,116.60,39.8
1986-09-01 00:00:00,33.40,92.80,35.30,82.00,47.20,131.50,20.20,66,61.70,44.10,85.9
1986-10-01 00:00:00,15.20,223.90,150.00,94.70,149.00,54.50,148.50,210.1,194.80,92.20,195.6
