month,cultuurtuin,zorg-en-hoop,nickerie,sipaliwini,stoelanseiland,tafelberg,kwaalasaoetoe
2002-04-01 00:00:00,388.7,335.7,251.6,,352.4,,87.8
2002-05-01 00:00:00,263,277.8,289.1,,296.8,,87.5
2002-06-01 00:00:00,357.7,358.9,240,,,,86.9
2002-07-01 00:00:00,339.3,261.4,211.8,,,,84.9
2002-08-01 00:00:00,163.5,171.3,141.1,,,,84.5I
2002-09-01 00:00:00,50,209.5,1.1,,,,83.0I
2002-10-01 00:00:00,68,37.6,49.2,,79.5,,81.3
2002-11-01 00:00:00,119.2,117.5,22,,171,,83.2
2002-12-01 00:00:00,284.4,226.1,123.5,,384.8,,85.1
2003-01-01 00:00:00,83.1,65.7,30.5,,54.1,,86.2
2003-02-01 00:00:00,20.4,20.4,34.6,,119.5,,87.3
2003-03-01 00:00:00,26.4,14.7,35.4,,62.9,,86.5
2003-04-01 00:00:00,137.2,189.7,16.4,,296.6,,
2003-05-01 00:00:00,312.5,366.7,384.8,,,,
2003-06-01 00:00:00,329.9,331.6,171.8,,,,
2003-07-01 00:00:00,208.4,238,363.7,,290,,
2003-08-01 00:00:00,107,114.2,282.6,,,,
2003-09-01 00:00:00,33.3,71.9,70.3,,26.7,,
2003-10-01 00:00:00,21.6,13.7,12.5,,,,
2003-11-01 00:00:00,179.2,151.1,116,,,,
2003-12-01 00:00:00,152.9,189.5,66.3,,,,
2004-01-01 00:00:00,97.9,69,91.7,,,,
2004-02-01 00:00:00,40.3,57,29.4,,,,
2004-03-01 00:00:00,112,100.7,71.3,,,,
2004-04-01 00:00:00,306.1,250.6,180,,297.3,,
2004-05-01 00:00:00,343.1,313.5,226.3,,,,
2004-06-01 00:00:00,396,375.2,162.2,,,,
2004-07-01 00:00:00,176.5,131,149.7,,,,
2004-08-01 00:00:00,211.2,213.5,166.1,,71.6,,
2004-09-01 00:00:00,124.1,173.8,40.5,,,,
2004-10-01 00:00:00,63.7,36.7,52.7,,78.9,,
2004-11-01 00:00:00,99.6,90.1,25.8,,,,
2004-12-01 00:00:00,69.2,82.4,118.6,,38.2,,
2005-01-01 00:00:00,269.1,331.4,287.6,,376.7,,
2005-02-01 00:00:00,101.1,123.3,155.1,,,,
2005-03-01 00:00:00,91.2,89.9,162.6,,225.4,,
2005-04-01 00:00:00,331.9,318.6,128,,,,
2005-05-01 00:00:00,277.5,263.3,,,276.1,,
2005-06-01 00:00:00,139.7,116.8,190.9,,,,
2005-07-01 00:00:00,294.2,257.9,277.9,,247.7,,
2005-08-01 00:00:00,196.9,263.2,,,,,
2005-09-01 00:00:00,88.1,76,30.5,,,,
2005-10-01 00:00:00,65.6,90.5,29.8,,,,
2005-11-01 00:00:00,116.9,98,120.6,,61.3,,
2005-12-01 00:00:00,232,211.8,460.8,,379.9,,
2006-01-01 00:00:00,415.1,,363.7,,,,
2006-02-01 00:00:00,269.9,,147.3,,,,
2006-03-01 00:00:00,110.4,,97.4,,,,
2006-04-01 00:00:00,114.8,,32.5,,,,
2006-05-01 00:00:00,341,,193.5,,,,
2006-06-01 00:00:00,441.2,,228.2,,,,
2006-07-01 00:00:00,259.1,,236,,,,
2006-08-01 00:00:00,114.3,,,,,,
2006-09-01 00:00:00,65.9,,37.5,,,,
2006-10-01 00:00:00,26.1,,64.2,,,,
2006-11-01 00:00:00,228.8,,48.9,,,,
2006-12-01 00:00:00,163.5,,162.6,,,,
2007-01-01 00:00:00,168.7,,118.9,,,,
2007-02-01 00:00:00,91.4,,84.6,,,,
2007-03-01 00:00:00,239.7,,175.4,,,,
2007-04-01 00:00:00,458.8,,184.9,,,,
2007-05-01 00:00:00,630.6,,370.3,,,,
2007-06-01 00:00:00,259.2,,176,,,,
2007-07-01 00:00:00,257.4,,201.4,,,,
2007-08-01 00:00:00,236.5,,174.9,,,,
2007-09-01 00:00:00,62.7,,119.2,,,,
2007-10-01 00:00:00,180,,132.4,,,,
2007-11-01 00:00:00,144.7,,98.6,,,,
2007-12-01 00:00:00,297.3,,377.8,,,,
2008-01-01 00:00:00,96.9,,,,,,
2008-02-01 00:00:00,298.2,,393.1,,,,
2008-04-01 00:00:00,213.2,,,,,,
